stage,model,latent,branch,r_field,r_sensor,r_sensor_used,ridge,n_delays,channels,seed,n_params,nmse_train,nmse_test,nmse_latent,cos_test,energy_test,floor_test,fit_seconds,n_train,n_test,run,tag
R,podlse,pod,closed-form,4,25,25,0.0001,25,all,0,100,0.7985913990816895,0.8493656015219249,0.6057246562232312,0.40058699498710654,0.4314926037114519,0.6167809301399843,3.74491286277771,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,25,25,0.001,25,all,0,100,0.7985938682451373,0.849189851493978,0.6052669471032498,0.4007088878599631,0.43062718203648204,0.6167809301399843,3.767869710922241,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,25,25,0.01,25,all,0,100,0.7988063548897003,0.8477778519544397,0.6015896500114325,0.40169870553290943,0.4225780255305837,0.6167809301399843,3.939183473587036,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,25,25,0.1,25,all,0,100,0.8068841884293796,0.8470503472348423,0.5996949957181782,0.40241490036362415,0.37175950210189446,0.6167809301399843,3.8881044387817383,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,50,50,1e-06,25,all,0,200,0.7874921751077879,0.8395538727670476,0.5801717855559985,0.41218502476805957,0.4375751483202253,0.6167809301399843,3.8341457843780518,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,50,50,0.0001,25,all,0,200,0.7874922024988787,0.8395427007492782,0.5801426900589373,0.4121924155041962,0.4374981680775273,0.6167809301399843,3.8599157333374023,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,50,50,0.001,25,all,0,200,0.7874948551067993,0.8394442125266947,0.579886195319142,0.4122572644810311,0.4368058781689829,0.6167809301399843,3.608954429626465,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,50,50,0.01,25,all,0,200,0.7877114531096188,0.838709260388552,0.5779721455729917,0.41271607517102094,0.4305218069990974,0.6167809301399843,3.47597074508667,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,50,50,0.1,25,all,0,200,0.794439551019301,0.8391353464646796,0.5790818095953478,0.41165987912537155,0.3932369079584521,0.6167809301399843,3.4196252822875977,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,100,100,1e-06,25,all,0,400,0.7812415317252428,0.8360021613607956,0.5709219964027693,0.41655764916480065,0.4473064785088449,0.6167809301399843,3.903384208679199,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,100,100,0.0001,25,all,0,400,0.7812416016938344,0.8359767972132592,0.5708559400738816,0.4165792844932625,0.44721795041667595,0.6167809301399843,3.9476706981658936,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,100,100,0.001,25,all,0,400,0.7812480697320083,0.8357612360213014,0.5702945499869171,0.41676222318382755,0.4464372584026737,0.6167809301399843,3.996540069580078,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,100,100,0.01,25,all,0,400,0.7816265977046901,0.834521902256744,0.5670669296367803,0.4177552915080442,0.44022435321551895,0.6167809301399843,4.0660974979400635,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,100,100,0.1,25,all,0,400,0.7873605502420244,0.8347534016348922,0.5676698278433193,0.41667287701957934,0.4112729668169435,0.6167809301399843,4.380804538726807,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,200,200,1e-06,25,all,0,800,0.770214702753941,0.829416584949944,0.5537710552689727,0.4218394439968561,0.46087428899352095,0.6167809301399843,3.7940099239349365,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
R,podlse,pod,closed-form,4,200,200,0.0001,25,all,0,800,0.7702569726903621,0.8289033699945392,0.552434479859321,0.4224840818020758,0.45956439891660866,0.6167809301399843,3.8171017169952393,4365,1521,4p5d_10ms_yaw_0_0_0,lowrank
